"","Pest_and_desease_impact_at_mid_stage","Weeds_impact_at_mid_stage","Crop_type","Available_soil_water_at_mid_stage","L1"
"1","Severe","Significant","Sorghum","Drought risk","Traitment_1"
"2","Minor","Significant","Sorghum","Drought risk","Traitment_2"
"3","Severe","Negligible","Sorghum","Drought risk","Traitment_3"
"4","Minor","Negligible","Sorghum","Drought risk","Traitment_4"
"5","Severe","Significant","Rice","Drought risk","Traitment_5"
"6","Minor","Significant","Rice","Drought risk","Traitment_6"
"7","Severe","Negligible","Rice","Drought risk","Traitment_7"
"8","Minor","Negligible","Rice","Drought risk","Traitment_8"
"9","Severe","Significant","Sorghum","Waterlogging risk","Traitment_9"
"10","Minor","Significant","Sorghum","Waterlogging risk","Traitment_10"
"11","Severe","Negligible","Sorghum","Waterlogging risk","Traitment_11"
"12","Minor","Negligible","Sorghum","Waterlogging risk","Traitment_12"
"13","Severe","Significant","Rice","Waterlogging risk","Traitment_13"
"14","Minor","Significant","Rice","Waterlogging risk","Traitment_14"
"15","Severe","Negligible","Rice","Waterlogging risk","Traitment_15"
"16","Minor","Negligible","Rice","Waterlogging risk","Traitment_16"
